Match Number,Round Number,Date,Location,Home Team,Away Team,Result
342,35,03/05/2026 13:00,Renato Dall'Ara,Bologna,Cagliari,
343,35,03/05/2026 13:00,Giuseppe Sinigaglia,Como,Napoli,
344,35,03/05/2026 13:00,Giovanni Zini,Cremonese,Lazio,
345,35,03/05/2026 13:00,San Siro,Inter,Parma,
346,35,03/05/2026 13:00,Juventus Stadium,Juventus,Hellas Verona,
347,35,03/05/2026 13:00,Garibaldi,Pisa,Lecce,
348,35,03/05/2026 13:00,Olimpico,Roma,Fiorentina,
349,35,03/05/2026 13:00,Mapei Stadium - Città del Tricolore,Sassuolo,Milan,
350,35,03/05/2026 13:00,Friuli,Udinese,Torino,
351,36,10/05/2026 13:00,Marcantonio Bentegodi,Hellas Verona,Como,
352,36,10/05/2026 13:00,Unipol Domus,Cagliari,Udinese,
353,36,10/05/2026 13:00,Giovanni Zini,Cremonese,Pisa,
354,36,10/05/2026 13:00,Artemio Franchi,Fiorentina,Genoa,
355,36,10/05/2026 13:00,Olimpico,Lazio,Inter,
356,36,10/05/2026 13:00,Ettore Giardiniero - Via del mare,Lecce,Juventus,
357,36,10/05/2026 13:00,San Siro,Milan,Atalanta,
358,36,10/05/2026 13:00,Diego Armando Maradona,Napoli,Bologna,
359,36,10/05/2026 13:00,Ennio Tardini,Parma,Roma,
360,36,10/05/2026 13:00,Olimpico Grande Torino,Torino,Sassuolo,
361,37,17/05/2026 13:00,Atleti Azzurri d'Italia,Atalanta,Bologna,
362,37,17/05/2026 13:00,Unipol Domus,Cagliari,Torino,
363,37,17/05/2026 13:00,Giuseppe Sinigaglia,Como,Parma,
364,37,17/05/2026 13:00,Luigi Ferraris,Genoa,Milan,
365,37,17/05/2026 13:00,San Siro,Inter,Hellas Verona,
366,37,17/05/2026 13:00,Juventus Stadium,Juventus,Fiorentina,
367,37,17/05/2026 13:00,Garibaldi,Pisa,Napoli,
368,37,17/05/2026 13:00,Olimpico,Roma,Lazio,
369,37,17/05/2026 13:00,Mapei Stadium - Città del Tricolore,Sassuolo,Lecce,
370,37,17/05/2026 13:00,Friuli,Udinese,Cremonese,
371,38,24/05/2026 13:00,Renato Dall'Ara,Bologna,Inter,
372,38,24/05/2026 13:00,Giovanni Zini,Cremonese,Como,
373,38,24/05/2026 13:00,Artemio Franchi,Fiorentina,Atalanta,
374,38,24/05/2026 13:00,Olimpico,Lazio,Pisa,
375,38,24/05/2026 13:00,Ettore Giardiniero - Via del mare,Lecce,Genoa,
376,38,24/05/2026 13:00,San Siro,Milan,Cagliari,
377,38,24/05/2026 13:00,Diego Armando Maradona,Napoli,Udinese,
378,38,24/05/2026 13:00,Ennio Tardini,Parma,Sassuolo,
379,38,24/05/2026 13:00,Olimpico Grande Torino,Torino,Juventus,
380,38,24/05/2026 13:00,Marcantonio Bentegodi,Hellas Verona,Roma,
